"Kod";"Nazwa";"rok;2023;[%]";
2211011;"Hel (1)";100,00;
2211023;"Jastarnia (3)";74,74;
2211024;"Jastarnia - miasto (4)";100,00;
2211031;"Puck (1)";100,00;
2211043;"Władysławowo (3)";64,59;
2211044;"Władysławowo - miasto (4)";100,00;
2212000;"Powiat słupski";17,66;
2212011;"Ustka (1)";100,00;
2212053;"Kępice (3)";40,17;
2212054;"Kępice - miasto (4)";100,00;
2213000;"Powiat starogardzki";46,33;
2213013;"Czarna Woda (3)";87,78;
2213014;"Czarna Woda - miasto (4)";100,00;
2213021;"Skórcz (1)";100,00;
2213031;"Starogard Gdański (1)";100,00;
2213093;"Skarszewy (3)";45,55;
2213094;"Skarszewy - miasto (4)";100,00;
2214000;"Powiat tczewski";63,12;
2214011;"Tczew (1)";100,00;
2214023;"Gniew (3)";42,92;
2214024;"Gniew - miasto (4)";100,00;
2214043;"Pelplin (3)";47,36;
2214044;"Pelplin - miasto (4)";100,00;
2215000;"Powiat wejherowski";55,84;
2215011;"Reda (1)";100,00;
2215021;"Rumia (1)";100,00;
2215031;"Wejherowo (1)";100,00;
2216000;"Powiat sztumski";36,51;
2216013;"Dzierzgoń (3)";56,47;
2216014;"Dzierzgoń - miasto (4)";100,00;
2216053;"Sztum (3)";53,52;
2216054;"Sztum - miasto (4)";100,00;
2261000;"Powiat m. Gdańsk";100,00;
2261011;"Gdańsk (1)";100,00;
2262000;"Powiat m. Gdynia";100,00;
2262011;"Gdynia (1)";100,00;
2263000;"Powiat m. Słupsk";100,00;
2263011;"Słupsk (1)";100,00;
2264000;"Powiat m. Sopot";100,00;
2264011;"Sopot (1)";100,00;
2400000;"ŚLĄSKIE";75,79;
2401000;"Powiat będziński";72,41;
2401011;"Będzin (1)";100,00;
2401021;"Czeladź (1)";100,00;
2401031;"Wojkowice (1)";100,00;
2401073;"Siewierz (3)";44,88;
2401074;"Siewierz - miasto (4)";100,00;
2401081;"Sławków (1)";100,00;
2402000;"Powiat bielski";26,07;
2402011;"Szczyrk (1)";100,00;
2402043;"Czechowice-Dziedzice (3)";78,32;
2402044;"Czechowice-Dziedzice - miasto (4)";100,00;
2402093;"Wilamowice (3)";17,38;
2402094;"Wilamowice - miasto (4)";100,00;
2403000;"Powiat cieszyński";43,72;
2403011;"Cieszyn (1)";100,00;
2403021;"Ustroń (1)";100,00;
2403031;"Wisła (1)";100,00;
2403103;"Skoczów (3)";51,26;
2403104;"Skoczów - miasto (4)";100,00;
2403113;"Strumień (3)";26,89;
2403114;"Strumień - miasto (4)";100,00;
2404000;"Powiat częstochowski";12,84;
2404013;"Blachownia (3)";72,72;
2404014;"Blachownia - miasto (4)";100,00;
2404063;"Koniecpol (3)";61,90;
2404064;"Koniecpol - miasto (4)";100,00;
2404123;"Olsztyn (3)";30,20;
2404124;"Olsztyn - miasto (4)";100,00;
2405000;"Powiat gliwicki";51,51;
2405011;"Knurów (1)";100,00;
2405021;"Pyskowice (1)";100,00;
2405063;"Sośnicowice (3)";21,60;
2405064;"Sośnicowice - miasto (4)";100,00;
2405073;"Toszek (3)";37,75;
2405074;"Toszek - miasto (4)";100,00;
2406000;"Powiat kłobucki";19,91;
2406013;"Kłobuck (3)";62,18;
2406014;"Kłobuck - miasto (4)";100,00;
2406023;"Krzepice (3)";48,19;
2406024;"Krzepice - miasto (4)";100,00;
2407000;"Powiat lubliniecki";36,68;
2407011;"Lubliniec (1)";100,00;
2407083;"Woźniki (3)";44,00;
2407084;"Woźniki - miasto (4)";100,00;
2408000;"Powiat mikołowski";84,72;
2408011;"Łaziska Górne (1)";100,00;
2408021;"Mikołów (1)";100,00;
2408031;"Orzesze (1)";100,00;
2409000;"Powiat myszkowski";53,40;
2409011;"Myszków (1)";100,00;
2409023;"Koziegłowy (3)";16,88;
2409024;"Koziegłowy - miasto (4)";100,00;
2409053;"Żarki (3)";53,20;
2409054;"Żarki - miasto (4)";100,00;
2410000;"Powiat pszczyński";22,60;
2410053;"Pszczyna (3)";47,49;
2410054;"Pszczyna - miasto (4)";100,00;
2411000;"Powiat raciborski";56,63;
2411011;"Racibórz (1)";100,00;
2411033;"Krzanowice (3)";37,95;
2411034;"Krzanowice - miasto (4)";100,00;
2411053;"Kuźnia Raciborska (3)";43,46;
2411054;"Kuźnia Raciborska - miasto (4)";100,00;
2412000;"Powiat rybnicki";34,59;
2412013;"Czerwionka-Leszczyny (3)";66,07;
2412014;"Czerwionka-Leszczyny - miasto (4)";100,00;
2413000;"Powiat tarnogórski";66,46;
2413011;"Kalety (1)";100,00;
2413021;"Miasteczko Śląskie (1)";100,00;
2413031;"Radzionków (1)";100,00;
2413041;"Tarnowskie Góry (1)";100,00;
2414000;"Powiat bieruńsko-lędziński";74,97;
2414011;"Bieruń (1)";100,00;
2414021;"Imielin (1)";100,00;
2414031;"Lędziny (1)";100,00;
2415000;"Powiat wodzisławski";63,11;
2415011;"Pszów (1)";100,00;
2415021;"Radlin (1)";100,00;
2415031;"Rydułtowy (1)";100,00;
2415041;"Wodzisław Śląski (1)";100,00;
2416000;"Powiat zawierciański";63,55;
2416011;"Poręba (1)";100,00;
2416021;"Zawiercie (1)";100,00;
2416053;"Łazy (3)";41,06;
2416054;"Łazy - miasto (4)";100,00;
2416063;"Ogrodzieniec (3)";46,33;
2416064;"Ogrodzieniec - miasto (4)";100,00;
2416073;"Pilica (3)";21,91;
2416074;"Pilica - miasto (4)";100,00;
2416083;"Szczekociny (3)";48,43;
2416084;"Szczekociny - miasto (4)";100,00;
2416093;"Włodowice (3)";22,47;
2416094;"Włodowice - miasto (4)";100,00;
2417000;"Powiat żywiecki";19,98;
2417011;"Żywiec (1)";100,00;
2461000;"Powiat m. Bielsko-Biała";100,00;
2461011;"Bielsko-Biała (1)";100,00;
2462000;"Powiat m. Bytom";100,00;
2462011;"Bytom (1)";100,00;
2463000;"Powiat m. Chorzów";100,00;
2463011;"Chorzów (1)";100,00;
2464000;"Powiat m. Częstochowa";100,00;
2464011;"Częstochowa (1)";100,00;
2465000;"Powiat m. Dąbrowa Górnicza";100,00;
2465011;"Dąbrowa Górnicza (1)";100,00;
2466000;"Powiat m. Gliwice";100,00;
2466011;"Gliwice (1)";100,00;
2467000;"Powiat m. Jastrzębie-Zdrój";100,00;
2467011;"Jastrzębie-Zdrój (1)";100,00;
2468000;"Powiat m. Jaworzno";100,00;
2468011;"Jaworzno (1)";100,00;
2469000;"Powiat m. Katowice";100,00;
2469011;"Katowice (1)";100,00;
2470000;"Powiat m. Mysłowice";100,00;
2470011;"Mysłowice (1)";100,00;
2471000;"Powiat m. Piekary Śląskie";100,00;
2471011;"Piekary Śląskie (1)";100,00;
2472000;"Powiat m. Ruda Śląska";100,00;
2472011;"Ruda Śląska (1)";100,00;
2473000;"Powiat m. Rybnik";100,00;
2473011;"Rybnik (1)";100,00;
2474000;"Powiat m. Siemianowice Śląskie";100,00;
2474011;"Siemianowice Śląskie (1)";100,00;
2475000;"Powiat m. Sosnowiec";100,00;
2475011;"Sosnowiec (1)";100,00;
2476000;"Powiat m. Świętochłowice";100,00;
2476011;"Świętochłowice (1)";100,00;
2477000;"Powiat m. Tychy";100,00;
2477011;"Tychy (1)";100,00;
2478000;"Powiat m. Zabrze";100,00;
2478011;"Zabrze (1)";100,00;
2479000;"Powiat m. Żory";100,00;
2479011;"Żory (1)";100,00;
2600000;"ŚWIĘTOKRZYSKIE";45,06;
2601000;"Powiat buski";26,34;
2601013;"Busko-Zdrój (3)";46,89;
2601014;"Busko-Zdrój - miasto (4)";100,00;
2601033;"Nowy Korczyn (3)";16,51;
2601034;"Nowy Korczyn - miasto (4)";100,00;
2601043;"Pacanów (3)";15,03;
2601044;"Pacanów - miasto (4)";100,00;
2601063;"Stopnica (3)";15,89;
2601064;"Stopnica - miasto (4)";100,00;
2601083;"Wiślica (3)";8,69;
2601084;"Wiślica - miasto (4)";100,00;
2602000;"Powiat jędrzejowski";30,17;
2602023;"Jędrzejów (3)";52,96;
2602024;"Jędrzejów - miasto (4)";100,00;
2602033;"Małogoszcz (3)";30,38;
2602034;"Małogoszcz - miasto (4)";100,00;
2602063;"Sędziszów (3)";52,12;
2602064;"Sędziszów - miasto (4)";100,00;
2602093;"Wodzisław (3)";15,12;
2602094;"Wodzisław - miasto (4)";100,00;
2603000;"Powiat kazimierski";20,48;
2603033;"Kazimierza Wielka (3)";32,84;
2603034;"Kazimierza Wielka - miasto (4)";100,00;
2603043;"Opatowiec (3)";10,41;
2603044;"Opatowiec - miasto (4)";100,00;
2603053;"Skalbmierz (3)";19,44;
2603054;"Skalbmierz - miasto (4)";100,00;
2604000;"Powiat kielecki";10,78;
2604023;"Bodzentyn (3)";19,06;
2604024;"Bodzentyn - miasto (4)";100,00;
2604033;"Chęciny (3)";29,24;
2604034;"Chęciny - miasto (4)";100,00;
2604043;"Chmielnik (3)";32,04;
2604044;"Chmielnik - miasto (4)";100,00;
2604053;"Daleszyce (3)";16,89;
2604054;"Daleszyce - miasto (4)";100,00;
2604073;"Łagów (3)";23,17;
2604074;"Łagów - miasto (4)";100,00;
2604083;"Łopuszno (3)";16,61;
2604084;"Łopuszno - miasto (4)";100,00;
2604123;"Morawica (3)";9,87;
2604124;"Morawica - miasto (4)";100,00;
2604133;"Nowa Słupia (3)";14,65;
2604134;"Nowa Słupia - miasto (4)";100,00;
2604143;"Piekoszów (3)";17,50;
2604144;"Piekoszów - miasto (4)";100,00;
2604153;"Pierzchnica (3)";26,99;
2604154;"Pierzchnica - miasto (4)";100,00;
2605000;"Powiat konecki";34,32;
2605033;"Końskie (3)";53,55;
2605034;"Końskie - miasto (4)";100,00;
2605043;"Radoszyce (3)";34,84;
2605044;"Radoszyce - miasto (4)";100,00;
2605083;"Stąporków (3)";33,22;
2605084;"Stąporków - miasto (4)";100,00;
2606000;"Powiat opatowski";23,46;
2606023;"Iwaniska (3)";19,81;
2606024;"Iwaniska - miasto (4)";100,00;
2606043;"Opatów (3)";55,20;
2606044;"Opatów - miasto (4)";100,00;
2606053;"Ożarów (3)";41,66;
2606054;"Ożarów - miasto (4)";100,00;
2607000;"Powiat ostrowiecki";67,54;
2607011;"Ostrowiec Świętokrzyski (1)";100,00;
2607043;"Ćmielów (3)";41,48;
2607044;"Ćmielów - miasto (4)";100,00;
2607053;"Kunów (3)";29,52;
2607054;"Kunów - miasto (4)";100,00;
2608000;"Powiat pińczowski";28,77;
2608013;"Działoszyce (3)";18,51;
2608014;"Działoszyce - miasto (4)";100,00;
2608043;"Pińczów (3)";50,52;
2608044;"Pińczów - miasto (4)";100,00;
2609000;"Powiat sandomierski";37,58;
2609011;"Sandomierz (1)";100,00;
2609033;"Klimontów (3)";23,55;
2609034;"Klimontów - miasto (4)";100,00;
2609043;"Koprzywnica (3)";38,08;
2609044;"Koprzywnica - miasto (4)";100,00;
2609093;"Zawichost (3)";39,84;
2609094;"Zawichost - miasto (4)";100,00;
2610000;"Powiat skarżyski";71,47;
2610011;"Skarżysko-Kamienna (1)";100,00;
2610053;"Suchedniów (3)";81,58;
2610054;"Suchedniów - miasto (4)";100,00;
2611000;"Powiat starachowicki";56,06;
2611011;"Starachowice (1)";100,00;
2611053;"Wąchock (3)";38,95;
2611054;"Wąchock - miasto (4)";100,00;
2612000;"Powiat staszowski";37,54;
2612033;"Oleśnica (3)";45,59;
2612034;"Oleśnica - miasto (4)";100,00;
2612043;"Osiek (3)";26,81;
2612044;"Osiek - miasto (4)";100,00;
2612053;"Połaniec (3)";67,64;
2612054;"Połaniec - miasto (4)";100,00;
2612073;"Staszów (3)";55,67;
2612074;"Staszów - miasto (4)";100,00;
2612083;"Szydłów (3)";22,27;
2612084;"Szydłów - miasto (4)";100,00;
2613000;"Powiat włoszczowski";22,17;
2613063;"Włoszczowa (3)";51,24;
2613064;"Włoszczowa - miasto (4)";100,00;
2661000;"Powiat m. Kielce";100,00;
2661011;"Kielce (1)";100,00;
2800000;"WARMIŃSKO-MAZURSKIE";58,90;
2801000;"Powiat bartoszycki";55,03;
2801011;"Bartoszyce (1)";100,00;
2801021;"Górowo Iławeckie (1)";100,00;
2801043;"Bisztynek (3)";38,09;
2801044;"Bisztynek - miasto (4)";100,00;
2801063;"Sępopol (3)";33,17;
2801064;"Sępopol - miasto (4)";100,00;
2802000;"Powiat braniewski";54,89;
2802011;"Braniewo (1)";100,00;
2802033;"Frombork (3)";66,07;
2802034;"Frombork - miasto (4)";100,00;
2802053;"Pieniężno (3)";43,76;
2802054;"Pieniężno - miasto (4)";100,00;
2803000;"Powiat działdowski";44,46;
2803011;"Działdowo (1)";100,00;
2803043;"Lidzbark (3)";54,54;
2803044;"Lidzbark - miasto (4)";100,00;
2804000;"Powiat elbląski";29,19;
2804063;"Młynary (3)";40,25;
2804064;"Młynary - miasto (4)";100,00;
2804073;"Pasłęk (3)";64,21;
2804074;"Pasłęk - miasto (4)";100,00;
2804093;"Tolkmicko (3)";40,10;
2804094;"Tolkmicko - miasto (4)";100,00;
2805000;"Powiat ełcki";67,64;
2805011;"Ełk (1)";100,00;
2806000;"Powiat giżycki";55,81;
2806011;"Giżycko (1)";100,00;
2806083;"Ryn (3)";49,92;
2806084;"Ryn - miasto (4)";100,00;
2807000;"Powiat iławski";57,97;
2807011;"Iława (1)";100,00;
2807021;"Lubawa (1)";100,00;
2807043;"Kisielice (3)";36,24;
2807044;"Kisielice - miasto (4)";100,00;
2807063;"Susz (3)";44,51;
2807064;"Susz - miasto (4)";100,00;
2807073;"Zalewo (3)";33,06;
2807074;"Zalewo - miasto (4)";100,00;
2808000;"Powiat kętrzyński";58,01;
2808011;"Kętrzyn (1)";100,00;
2808043;"Korsze (3)";45,22;
2808044;"Korsze - miasto (4)";100,00;
2808053;"Reszel (3)";60,95;
2808054;"Reszel - miasto (4)";100,00;
2809000;"Powiat lidzbarski";58,93;
2809011;"Lidzbark Warmiński (1)";100,00;
2809053;"Orneta (3)";73,38;
2809054;"Orneta - miasto (4)";100,00;
2810000;"Powiat mrągowski";50,33;
2810011;"Mrągowo (1)";100,00;
2810023;"Mikołajki (3)";45,75;
2810024;"Mikołajki - miasto (4)";100,00;
2811000;"Powiat nidzicki";41,46;
2811043;"Nidzica (3)";63,99;
2811044;"Nidzica - miasto (4)";100,00;
2812000;"Powiat nowomiejski";24,04;
2812011;"Nowe Miasto Lubawskie (1)";100,00;
2813000;"Powiat olecki";49,13;
2813043;"Olecko (3)";75,02;
2813044;"Olecko - miasto (4)";100,00;
2814000;"Powiat olsztyński";28,22;
2814013;"Barczewo (3)";40,45;
2814014;"Barczewo - miasto (4)";100,00;
2814023;"Biskupiec (3)";55,96;
2814024;"Biskupiec - miasto (4)";100,00;
2814033;"Dobre Miasto (3)";61,73;
2814034;"Dobre Miasto - miasto (4)";100,00;
2814063;"Jeziorany (3)";42,33;
2814064;"Jeziorany - miasto (4)";100,00;
2814093;"Olsztynek (3)";54,64;
2814094;"Olsztynek - miasto (4)";100,00;
2815000;"Powiat ostródzki";49,36;
2815011;"Ostróda (1)";100,00;
2815063;"Miłakowo (3)";48,63;
2815064;"Miłakowo - miasto (4)";100,00;
2815073;"Miłomłyn (3)";50,76;
2815074;"Miłomłyn - miasto (4)";100,00;
2815083;"Morąg (3)";55,44;
2815084;"Morąg - miasto (4)";100,00;
2816000;"Powiat piski";59,07;
2816013;"Biała Piska (3)";35,47;
2816014;"Biała Piska - miasto (4)";100,00;
2816023;"Orzysz (3)";63,09;
2816024;"Orzysz - miasto (4)";100,00;
2816033;"Pisz (3)";68,12;
2816034;"Pisz - miasto (4)";100,00;
2816043;"Ruciane-Nida (3)";55,74;
2816044;"Ruciane-Nida - miasto (4)";100,00;
2817000;"Powiat szczycieński";40,95;
2817011;"Szczytno (1)";100,00;
2817043;"Pasym (3)";47,35;
2817044;"Pasym - miasto (4)";100,00;
2817083;"Wielbark (3)";47,76;
2817084;"Wielbark - miasto (4)";100,00;
2818000;"Powiat gołdapski";53,03;
2818033;"Gołdap (3)";69,24;
2818034;"Gołdap - miasto (4)";100,00;
2819000;"Powiat węgorzewski";50,77;
2819033;"Węgorzewo (3)";69,04;
2819034;"Węgorzewo - miasto (4)";100,00;
2861000;"Powiat m. Elbląg";100,00;
2861011;"Elbląg (1)";100,00;
2862000;"Powiat m. Olsztyn";100,00;
2862011;"Olsztyn (1)";100,00;
3000000;"WIELKOPOLSKIE";53,03;
3001000;"Powiat chodzieski";63,83;
3001011;"Chodzież (1)";100,00;
3001023;"Budzyń (3)";56,31;
3001024;"Budzyń - miasto (4)";100,00;
3001043;"Margonin (3)";47,08;
3001044;"Margonin - miasto (4)";100,00;
3001053;"Szamocin (3)";54,57;
3001054;"Szamocin - miasto (4)";100,00;
3002000;"Powiat czarnkowsko-trzcianecki";45,42;
3002011;"Czarnków (1)";100,00;
3002043;"Krzyż Wielkopolski (3)";71,41;
3002044;"Krzyż Wielkopolski - miasto (4)";100,00;
3002073;"Trzcianka (3)";70,23;
3002074;"Trzcianka - miasto (4)";100,00;
3002083;"Wieleń (3)";48,63;
3002084;"Wieleń - miasto (4)";100,00;
3003000;"Powiat gnieźnieński";58,97;
3003011;"Gniezno (1)";100,00;
3003023;"Czerniejewo (3)";35,19;
3003024;"Czerniejewo - miasto (4)";100,00;
3003053;"Kłecko (3)";35,43;
3003054;"Kłecko - miasto (4)";100,00;
3003093;"Trzemeszno (3)";53,07;
3003094;"Trzemeszno - miasto (4)";100,00;
3003103;"Witkowo (3)";57,00;
3003104;"Witkowo - miasto (4)";100,00;
3004000;"Powiat gostyński";43,14;
3004013;"Borek Wielkopolski (3)";34,64;
3004014;"Borek Wielkopolski - miasto (4)";100,00;
3004023;"Gostyń (3)";71,37;
3004024;"Gostyń - miasto (4)";100,00;
3004033;"Krobia (3)";35,79;
3004034;"Krobia - miasto (4)";100,00;
3004063;"Pogorzela (3)";43,53;
3004064;"Pogorzela - miasto (4)";100,00;
3004073;"Poniec (3)";39,03;
3004074;"Poniec - miasto (4)";100,00;
3005000;"Powiat grodziski";39,52;
3005023;"Grodzisk Wielkopolski (3)";74,24;
3005024;"Grodzisk Wielkopolski - miasto (4)";100,00;
3005043;"Rakoniewice (3)";27,09;
3005044;"Rakoniewice - miasto (4)";100,00;
3005053;"Wielichowo (3)";24,95;
3005054;"Wielichowo - miasto (4)";100,00;
3006000;"Powiat jarociński";42,63;
3006013;"Jaraczewo (3)";18,00;
3006014;"Jaraczewo - miasto (4)";100,00;
3006023;"Jarocin (3)";57,81;
3006024;"Jarocin - miasto (4)";100,00;
3006043;"Żerków (3)";21,34;
3006044;"Żerków - miasto (4)";100,00;
3007000;"Powiat kaliski";8,12;
3007053;"Koźminek (3)";24,92;
3007054;"Koźminek - miasto (4)";100,00;
3007083;"Opatówek (3)";32,88;
3007084;"Opatówek - miasto (4)";100,00;
3007093;"Stawiszyn (3)";20,48;
3007094;"Stawiszyn - miasto (4)";100,00;
3008000;"Powiat kępiński";24,19;
3008033;"Kępno (3)";56,10;
3008034;"Kępno - miasto (4)";100,00;
3009000;"Powiat kolski";34,97;
3009011;"Koło (1)";100,00;
3009043;"Dąbie (3)";29,72;
3009044;"Dąbie - miasto (4)";100,00;
3009063;"Kłodawa (3)";49,66;
3009064;"Kłodawa - miasto (4)";100,00;
3009113;"Przedecz (3)";39,17;
3009114;"Przedecz - miasto (4)";100,00;
3010000;"Powiat koniński";13,19;
3010013;"Golina (3)";34,74;
3010014;"Golina - miasto (4)";100,00;
3010043;"Kleczew (3)";40,52;
3010044;"Kleczew - miasto (4)";100,00;
3010073;"Rychwał (3)";29,85;
3010074;"Rychwał - miasto (4)";100,00;
3010103;"Sompolno (3)";33,18;
3010104;"Sompolno - miasto (4)";100,00;
3010123;"Ślesin (3)";22,23;
3010124;"Ślesin - miasto (4)";100,00;
3011000;"Powiat kościański";46,31;
3011011;"Kościan (1)";100,00;
3011023;"Czempiń (3)";44,56;
3011024;"Czempiń - miasto (4)";100,00;
3011043;"Krzywiń (3)";17,53;
3011044;"Krzywiń - miasto (4)";100,00;
3011053;"Śmigiel (3)";32,98;
3011054;"Śmigiel - miasto (4)";100,00;
3012000;"Powiat krotoszyński";59,37;
3012011;"Sulmierzyce (1)";100,00;
3012023;"Kobylin (3)";41,69;
3012024;"Kobylin - miasto (4)";100,00;
3012033;"Koźmin Wielkopolski (3)";48,68;
3012034;"Koźmin Wielkopolski - miasto (4)";100,00;
3012043;"Krotoszyn (3)";71,41;
3012044;"Krotoszyn - miasto (4)";100,00;
3012063;"Zduny (3)";56,57;
3012064;"Zduny - miasto (4)";100,00;
3013000;"Powiat leszczyński";8,85;
3013033;"Osieczna (3)";26,17;
3013034;"Osieczna - miasto (4)";100,00;
3013043;"Rydzyna (3)";27,10;
3013044;"Rydzyna - miasto (4)";100,00;
3014000;"Powiat międzychodzki";44,32;
3014033;"Międzychód (3)";55,84;
3014034;"Międzychód - miasto (4)";100,00;
3014043;"Sieraków (3)";68,54;
3014044;"Sieraków - miasto (4)";100,00;
3015000;"Powiat nowotomyski";43,67;
3015023;"Lwówek (3)";33,51;
3015024;"Lwówek - miasto (4)";100,00;
3015043;"Nowy Tomyśl (3)";48,96;
3015044;"Nowy Tomyśl - miasto (4)";100,00;
3015053;"Opalenica (3)";58,19;
3015054;"Opalenica - miasto (4)";100,00;
3015063;"Zbąszyń (3)";51,34;
3015064;"Zbąszyń - miasto (4)";100,00;
3016000;"Powiat obornicki";47,62;
3016013;"Oborniki (3)";50,55;
3016014;"Oborniki - miasto (4)";100,00;
3016023;"Rogoźno (3)";60,13;
3016024;"Rogoźno - miasto (4)";100,00;
3017000;"Powiat ostrowski";51,03;
3017011;"Ostrów Wielkopolski (1)";100,00;
3017023;"Nowe Skalmierzyce (3)";28,64;
3017024;"Nowe Skalmierzyce - miasto (4)";100,00;
3017033;"Odolanów (3)";34,17;
3017034;"Odolanów - miasto (4)";100,00;
3017063;"Raszków (3)";18,36;
3017064;"Raszków - miasto (4)";100,00;
3018000;"Powiat ostrzeszowski";31,53;
3018033;"Grabów nad Prosną (3)";24,75;
3018034;"Grabów nad Prosną - miasto (4)";100,00;
3018063;"Mikstat (3)";29,22;
3018064;"Mikstat - miasto (4)";100,00;
3018073;"Ostrzeszów (3)";57,19;
3018074;"Ostrzeszów - miasto (4)";100,00;
3019000;"Powiat pilski";67,12;
3019011;"Piła (1)";100,00;
3019033;"Kaczory (3)";37,20;
3019034;"Kaczory - miasto (4)";100,00;
3019043;"Łobżenica (3)";30,68;
3019044;"Łobżenica - miasto (4)";100,00;
3019053;"Miasteczko Krajeńskie (3)";35,23;
3019054;"Miasteczko Krajeńskie - miasto (4)";100,00;
3019073;"Ujście (3)";44,19;
3019074;"Ujście - miasto (4)";100,00;
3019083;"Wyrzysk (3)";38,91;
3019084;"Wyrzysk - miasto (4)";100,00;
3019093;"Wysoka (3)";41,37;
3019094;"Wysoka - miasto (4)";100,00;
3020000;"Powiat pleszewski";34,54;
3020013;"Chocz (3)";36,97;
3020014;"Chocz - miasto (4)";100,00;
3020033;"Dobrzyca (3)";38,30;
3020034;"Dobrzyca - miasto (4)";100,00;
3020063;"Pleszew (3)";57,29;
3020064;"Pleszew - miasto (4)";100,00;
3021000;"Powiat poznański";29,96;
3021011;"Luboń (1)";100,00;
3021021;"Puszczykowo (1)";100,00;
3021033;"Buk (3)";42,69;
3021034;"Buk - miasto (4)";100,00;
3021083;"Kostrzyn (3)";48,52;
3021084;"Kostrzyn - miasto (4)";100,00;
3021093;"Kórnik (3)";22,20;
3021094;"Kórnik - miasto (4)";100,00;
3021103;"Mosina (3)";40,87;
3021104;"Mosina - miasto (4)";100,00;
3021113;"Murowana Goślina (3)";60,32;
3021114;"Murowana Goślina - miasto (4)";100,00;
3021123;"Pobiedziska (3)";46,30;
3021124;"Pobiedziska - miasto (4)";100,00;
3021143;"Stęszew (3)";37,80;
3021144;"Stęszew - miasto (4)";100,00;
3021163;"Swarzędz (3)";49,87;
3021164;"Swarzędz - miasto (4)";100,00;
3022000;"Powiat rawicki";46,67;
3022013;"Bojanowo (3)";34,07;
3022014;"Bojanowo - miasto (4)";100,00;
3022023;"Jutrosin (3)";26,89;
3022024;"Jutrosin - miasto (4)";100,00;
3022033;"Miejska Górka (3)";34,64;
3022034;"Miejska Górka - miasto (4)";100,00;
3022053;"Rawicz (3)";65,67;
3022054;"Rawicz - miasto (4)";100,00;
3023000;"Powiat słupecki";27,38;
3023011;"Słupca (1)";100,00;
3023083;"Zagórów (3)";32,14;
3023084;"Zagórów - miasto (4)";100,00;
3024000;"Powiat szamotulski";44,76;
3024011;"Obrzycko (1)";100,00;
3024053;"Ostroróg (3)";38,87;
3024054;"Ostroróg - miasto (4)";100,00;
3024063;"Pniewy (3)";65,29;
3024064;"Pniewy - miasto (4)";100,00;
3024073;"Szamotuły (3)";60,76;
3024074;"Szamotuły - miasto (4)";100,00;
3024083;"Wronki (3)";56,15;
3024084;"Wronki - miasto (4)";100,00;
3025000;"Powiat średzki";40,57;
3025043;"Środa Wielkopolska (3)";72,22;
3025044;"Środa Wielkopolska - miasto (4)";100,00;
3026000;"Powiat śremski";52,28;
3026023;"Dolsk (3)";26,81;
3026024;"Dolsk - miasto (4)";100,00;
3026033;"Książ Wielkopolski (3)";31,63;
3026034;"Książ Wielkopolski - miasto (4)";100,00;
3026043;"Śrem (3)";65,49;
3026044;"Śrem - miasto (4)";100,00;
3027000;"Powiat turecki";35,60;
3027011;"Turek (1)";100,00;
3027033;"Dobra (3)";22,77;
3027034;"Dobra - miasto (4)";100,00;
3027073;"Tuliszków (3)";29,91;
3027074;"Tuliszków - miasto (4)";100,00;
3028000;"Powiat wągrowiecki";48,33;
3028011;"Wągrowiec (1)";100,00;
3028033;"Gołańcz (3)";40,92;
3028034;"Gołańcz - miasto (4)";100,00;
3028053;"Skoki (3)";46,89;
3028054;"Skoki - miasto (4)";100,00;
3029000;"Powiat wolsztyński";21,06;
3029033;"Wolsztyn (3)";39,50;
3029034;"Wolsztyn - miasto (4)";100,00;
3030000;"Powiat wrzesiński";53,61;
3030023;"Miłosław (3)";34,47;
3030024;"Miłosław - miasto (4)";100,00;
3030033;"Nekla (3)";48,33;
3030034;"Nekla - miasto (4)";100,00;
3030043;"Pyzdry (3)";45,57;
3030044;"Pyzdry - miasto (4)";100,00;
3030053;"Września (3)";65,63;
3030054;"Września - miasto (4)";100,00;
3031000;"Powiat złotowski";49,79;
3031011;"Złotów (1)";100,00;
3031023;"Jastrowie (3)";76,42;
3031024;"Jastrowie - miasto (4)";100,00;
3031033;"Krajenka (3)";47,49;
3031034;"Krajenka - miasto (4)";100,00;
3031053;"Okonek (3)";45,71;
3031054;"Okonek - miasto (4)";100,00;
3061000;"Powiat m. Kalisz";100,00;
3061011;"Kalisz (1)";100,00;
3062000;"Powiat m. Konin";100,00;
3062011;"Konin (1)";100,00;
3063000;"Powiat m. Leszno";100,00;
3063011;"Leszno (1)";100,00;
3064000;"Powiat m. Poznań";100,00;
3064011;"Poznań (1)";100,00;
3200000;"ZACHODNIOPOMORSKIE";68,05;
3201000;"Powiat białogardzki";68,12;
3201011;"Białogard (1)";100,00;
3201033;"Karlino (3)";64,50;
3201034;"Karlino - miasto (4)";100,00;
3201043;"Tychowo (3)";37,55;
3201044;"Tychowo - miasto (4)";100,00;
3202000;"Powiat choszczeński";47,50;
3202023;"Choszczno (3)";69,09;
3202024;"Choszczno - miasto (4)";100,00;
3202033;"Drawno (3)";46,81;
3202034;"Drawno - miasto (4)";100,00;
3202053;"Pełczyce (3)";33,47;
3202054;"Pełczyce - miasto (4)";100,00;
3202063;"Recz (3)";53,35;
3202064;"Recz - miasto (4)";100,00;
3203000;"Powiat drawski";63,48;
3203013;"Czaplinek (3)";59,96;
3203014;"Czaplinek - miasto (4)";100,00;
